USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Anarchy Bats,ASPSAM25A,SAMURAI 2,4/4/2025
,Anarchy Bats,ASPSD24A,SOUR DIESEL,10/22/2024
,Anarchy Bats,ASPSEV25A,Seven,7/30/2025
,Anarchy Bats,ASPSHIM26A,SHIMELS ASSASSIN GREY,5/6/2026
,Anarchy Bats,ASPSHIM2SA,SHIMELS ASSASSIN,7/30/2025
,Anarchy Bats,ASPSLK26A,SLICK,1/27/2026
,Anarchy Bats,ASPSTAZ5A,STRICTLY ALOHA,1/27/2026
,Anarchy Bats,ASPSVB25A,SAVE 2nd BASE,7/30/2025
,Anarchy Bats,ASPSYN24A,Syndicate,1/2/2024
,Anarchy Bats,ASPSZN24A,OPEN SEAZON NIGHT,10/22/2024
,Anarchy Bats,ASPSZN26AH,Open SZN (heavy),5/6/2026
,Anarchy Bats,ASPTBL26A,BLUE LINE,5/6/2026
,Anarchy Bats,ASPTEMP26A,TEMPTATION,5/6/2026
,Anarchy Bats,ASPTEMPH26A,TEMPTATION HEAVY,5/6/2026
,Anarchy Bats,ASPTOON26A,DAWE CARTOON,5/6/2026
,Anarchy Bats,ASPTREB26A,TREBELLION,5/6/2026
,Anarchy Bats,ASPTREB26AH,TREBELLION HEAVY,5/6/2026
,Anarchy Bats,ASPTRL26A,RED LINE,5/6/2026
,Anarchy Bats,ASPTTAD24A,22ADAY,7/27/2024
,Anarchy Bats,ASPTTAD25A,22aday (2025),7/30/2025
,Anarchy Bats,ASPTUNA2SA,BUBBLE BUBBLE (1/2OZ),2/18/2025
,Anarchy Bats,ASPTW25A,TWIX,1/27/2026
,Anarchy Bats,ASPTWO24A,TWO FACE,10/22/2024
,Anarchy Bats,ASPUSA26A,AMERICA,5/6/2026
,Anarchy Bats,ASPUSA26AH,AMERICA HEAVY,5/6/2026
,Anarchy Bats,ASPWHA25A,WHALEY,4/4/2025
,Anarchy Bats,ASPWICH25A,WICHAHPI (A3),4/4/2025
,Anarchy Bats,ASPWNW25A,WET N WILD,1/27/2026
,Anarchy Bats,ASPXMAS2SA,XMAS BAT,1/27/2026
,Anarchy Bats,ASPYM26A,YOUNG MONEY,1/27/2026
,Anarchy Bats,ASPZAT26A,ZATOPEK PTSD,5/6/2026
,Anarchy Bats,ASPZUS2SA,ZEUS,2/18/2025
,Anarchy Bats,AUSADL213-2,Disciple,1/2/2024
,Anarchy Bats,USA22ADAY,22 A Day,3/4/2020
,Anderson Bat Company,11002,TechWrap,6/4/2010
,Anderson Bat Company,11003,WrapTech,6/4/2010
,Anderson Bat Company,11004,FlexTech,6/4/2010
,Anderson Bat Company,11005,RocketTech,6/4/2010
,Anderson Bat Company,11006,Techzilla,6/4/2010
,Anderson Bat Company,11009,Pyrotech,6/4/2010
,Anderson Bat Company,11010,Rocket Tech Composite Killer,6/4/2010
,Anderson Bat Company,11011,Techzilla Composite Killer,6/4/2010
,Anderson Bat Company,11012,PyroTech SP,6/4/2010
,Anderson Bat Company,11013,RockeTech SP,6/4/2010
,Anderson Bat Company,11014,TechZilla SP,6/4/2010
,Anderson Bat Company,11015,PyroTech SP,6/4/2010
,Anderson Bat Company,11016,RockeTeck SP,6/4/2010
,Anderson Bat Company,11017,TechZilla SP,6/4/2010
,Anderson Bat Company,11018,Matrix SP,6/4/2010
,Anderson Bat Company,11019,PyroTech SP,6/4/2010
,Anderson Bat Company,11020,RocketTech SP,6/4/2010
,Anderson Bat Company,11021,TechZilla SP,6/4/2010
,Anderson Bat Company,11023,KSP,4/9/2010
,Anderson Bat Company,11024,RockTech SP,5/28/2009
,Anderson Bat Company,11027,NanoTek SPA,10/13/2009
,Anderson Bat Company,11028,RockeTech SP,4/9/2010
,Anderson Bat Company,11029,TechZilla SP,4/9/2010
,Anderson Bat Company,11030,NanoTek SP Alpha,2/9/2012
,Anderson Bat Company,11031,NanoTek SP Omega,2/9/2012
,Anderson Bat Company,11032,RocketTech SP,2/8/2012
,Anderson Bat Company,11033,TechZilla SP,2/8/2012
,Anderson Bat Company,11034,Ignite SP,2/8/2012
,Anderson Bat Company,11035,FlexZilla SP,1/17/2013
,Anderson Bat Company,11036,RocketFlex SP,1/17/2013
,Anderson Bat Company,11037,RockeTech SP,8/27/2014
,Anderson Bat Company,11038,Ambush SP,6/16/2015
,Anderson Bat Company,11039,Flex,8/15/2014
