USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Axe Bat,L193P,DABACLE,3/6/2025
,Axe Bat,L193P-E-FLR,DABACLE ENDLOADED,3/6/2025
,Axe Bat,L193Q,Dabacle,2/3/2026
,Axe Bat,L193Q-E-FLR,Dabacle Endloaded,2/3/2026
,Axe Bat,L193R,Dabacle,2/3/2026
,Axe Bat,L193R-E-FLR,Dabacle Endloaded,2/3/2026
,BamBooBat Company,HBBW,Black/White,2/20/2012
,BamBooBat Company,HNBB,Natural/Black,2/20/2012
,BamBooBat Company,HNBI,Natural/Pink,2/20/2012
,BamBooBat Company,HNBR,Natural/Red,2/20/2012
,BamBooBat Company,HNBU,Natural/Blue,2/20/2012
,Bass Gloves,ASA Pinky,,2/4/2013
,Bass Gloves,BiPolar,,2/4/2013
,Bass Gloves,Darkside,,2/4/2013
,Bass Gloves,Diva,,2/4/2013
,Bass Gloves,Illusion,,2/4/2013
,Bass Gloves,LB-1,,2/4/2013
,Bass Gloves,ManDingo,,2/8/2011
,Bass Gloves,ManDingo ReVamp,,4/23/2013
,Bass Gloves,Takeover,,9/25/2013
,Boombah,BCHRG1,Charge,9/14/2011
,Boombah,FPBAN10,Banshee Compressor T3 Fastpitch,10/29/2015
,Boombah,FPBAN102,Banshee 2.0 Compressor T3 -10,11/23/2016
,Boombah,FPBAN12,Banshee -12,6/9/2017
,Boombah,FPBAN9,Banshee Compressor T3 Fastpitch,11/16/2015
,Boombah,FPTS10,Tsunami XRT COMPOSITE Fastpitch Bat -10,12/2/2013
,Boombah,FPTS102,Tsunami -10,9/8/2014
,Boombah,FPTS12,Tsunami XRT -12,1/21/2014
,Boombah,FPTS122,Tsunami -12,9/8/2014
,Boombah,FPTS9,Tsunami XRT COMPOSITE Fastpitch Bat -9,12/2/2013
,Boombah,FPTS92,Tsunami -9,9/8/2014
,Boombah,SPBAEL,Boss,9/8/2014
,Boombah,SPBBCCA,Breast Cancer Awareness Boss Compressor T3,11/23/2016
,Boombah,SPBCT3A,Boss Compressor T3,10/27/2016
,Boombah,SPBD13UA,Boss Dually,9/11/2015
,Boombah,SPBFRCA,First Responders Boss CompressorT3,11/23/2016
,Boombah,SPBMTCA,Military Tribute Boss Compressor T3,11/23/2016
,Boombah,SPBPMCA,POW/MIA Boss Compressor T3,11/23/2016
,Boombah,SPBSA,Boss XRT COMPOSITE,12/2/2013
,Boombah,SPBSSCA,Stars and Stripes Boss Compressor T3,11/23/2016
,Brett Bros.,SST-500,,8/13/2008
,Clapbat,Clapbat1,,7/9/2010
,Combat,A16SP2,Assault G5 275,3/10/2016
,Combat,AVARFP1,Avaritia -8,1/13/2012
,Combat,AVARFP2,Avaritia -9,1/13/2012
,Combat,AVARFP3,Avaritia -10,1/13/2012
,Combat,AVARFP4,Avaritia -11,1/13/2012
,Combat,AVARSP2,Avarice 98,12/5/2011
,Combat,AVASP5,Avarice G5 275,4/30/2015
,Combat,B1FP1,B1,8/4/2010
,Combat,B1SP2,B198,8/4/2010
,Combat,B1SP2,B198 Signature Series,8/4/2010
,Combat,BUBSP3,Bubba ASA,2/4/2013
,Combat,C15SP1,Combatant 15 275,9/4/2015
,Combat,C4FP1,C4,8/4/2010
,Combat,C4SP1,C4,8/4/2010
,Combat,CSA5MUSTL-25,PERFORMANCE - MUSTANG,7/10/2025
,Combat,CSA5MUSTL-26,PERFORMANCE - MUSTANG,7/10/2025
,Combat,CSA5MUSTL-27,PERFORMANCE - MUSTANG,7/10/2025
,Combat,CSA6BLBKL-25,SPEC CR1,11/13/2025
,Combat,CSA6BLBKL-26,SPEC CR1,11/13/2025
,Combat,CSA6BLBKL-27,SPEC CR1,11/13/2025
,Combat,CSA6CJBJL-25,COOKIE JAR - Bradley Jones,5/15/2026
,Combat,CSA6CJBJL-26,COOKIE JAR - Bradley Jones,5/15/2026
,Combat,CSA6CJBJL-27,COOKIE JAR - Bradley Jones,5/15/2026
,Combat,CSA6OBJ1L-25,Outdoor � Bradley Jones,3/12/2026
,Combat,CSA6OBJ1L-26,Outdoor � Bradley Jones,3/12/2026
,Combat,CSA6OBJ1L-27,Outdoor � Bradley Jones,3/12/2026
,Combat,CSA6OBJ1L-28,Outdoor - Bradley Jones,3/11/2026
,Combat,DB427SP2,Derby Boys 275,12/13/2012
,Combat,DB427SP3,The Derby Boys,12/3/2012
,Combat,DBGSP2,Derby Boys Chris Greinerd,3/31/2014
,Combat,DBGSP4,Team Combat Chris Greinert 275,4/30/2015
,Combat,DBGSP6,Derby Girls 275,3/10/2016
,Combat,DBGSP6,Team Combat Chris Greinert 275,6/26/2015
,Combat,DBSP0,Derby Boys ASA,6/26/2015
,Combat,DBSP0,Derby Boys ASA,3/10/2016
,Combat,DBSP5,Derby Boys ASA,8/1/2013
,Combat,DBSP7,Derby Boys ASA,3/31/2014
,Combat,DIRSP3,Dirty HPS,2/4/2013
,Combat,DIRSP5,Dirty 275,3/31/2014
,Combat,DIRSP7,Dirty ASA,3/31/2014
,Combat,DUKESP1,The Duke 275,9/4/2015
,Combat,FP7MS109,Maxum FP -9 Madison Shipman,3/10/2016
,Combat,FP7MS113,Maxum FP -13,3/10/2016
,Combat,FP7MS209,Maxum FP -9 Madison Shipman,3/10/2016
,Combat,FP7MX108,Maxum FP -8,3/10/2016
,Combat,FP7MX110,Maxum FP -10,3/10/2016
,Combat,FP7MX208,Maxum FP -8,3/10/2016
,Combat,FP7MX210,Maxum FP -10,3/10/2016
,Combat,FP7TC110,Maxum FP Team Shipman -10,3/10/2016
,Combat,FP7TC112,Maxum FP Team Shipman -12,3/10/2016
,Combat,GCBSP1,Derby Girls GCB,2/4/2013
,Combat,GEARFP1,Bruin Fastpitch,6/14/2010
,Combat,GEARFP2,Morphed TT Gear,10/27/2010
,Combat,GEARSP3,Gear Afflicted,8/4/2010
,Combat,GEARSP4-SB,Scott Brown 98 Gear,7/15/2010
,Combat,LFFP1,Lisa Fernandez,8/4/2010
,Combat,LFFP2,Lisa Fernandez,8/4/2010
,Combat,LFFP3,Lisa Fernandez,8/4/2010
,Combat,LFFP6,Combat LF16,8/1/2013
,Combat,LGDSP1,Legends Derby Boys,3/31/2014
,Combat,MAXFP108,Maxum FP -8,6/26/2015
,Combat,MAXFP109,Maxum FP -9,6/26/2015
,Combat,MAXFP110,Maxum FP -10,6/26/2015
,Combat,MAXFP111,Maxum FP -11,6/26/2015
,Combat,MAXFP210,Maxum FP -10 SW,6/26/2015
,Combat,MAXFP212,Maxum FP -12 SW,6/26/2015
,Combat,MORFP1,Morphed OS,10/27/2010
,Combat,MX2FP108,Maxum FP -8 2pc,6/26/2015
,Combat,MX2FP109,Maxum FP -9 2pc,6/26/2015
,Combat,MX2FP110,Maxum FP -10 2pc,6/26/2015
,Combat,MX2FP111,Maxum FP -11 2pc,6/26/2015
,Combat,PG3FP108,Portent G3 -8,3/31/2014
,Combat,PG3FP109,Portent G3 -9,3/31/2014
,Combat,PG3FP110,Portent G3 -10,3/31/2014
,Combat,PG3FP111,Portent G3 -11,3/31/2014
,Combat,PG3FP210,Portent G3 -10,3/31/2014
,Combat,PG3FP212,Portent G3 -12,3/31/2014
,Combat,PG3SP5,Portent ASA,3/31/2014
,Combat,PORFP108,Portent FP -8,8/1/2013
,Combat,PORFP109,Portent FP -9,8/1/2013
,Combat,PORFP110,Portent FP -10,8/1/2013
,Combat,PORFP111,Portent FP -11,8/1/2013
,Combat,PORFP210,Portent FP SW -10,8/1/2013
,Combat,PORFP212,Portent FP SW -12,8/1/2013
,Combat,PORSP3,Portent ASA,8/1/2013
,Combat,PURESP2,Pure 98,3/27/2012
,Combat,SP6ATV1D,Team Combat Antivirus 275,3/10/2016
,Combat,SP6KUS1D,Rocket Launcher 275,3/10/2016
,Combat,SP6TRX1A,T-Rex Extinction ASA,3/10/2016
,Combat,SPIKSP3,Combat Spiked 98,2/20/2012
,Combat,SX3SP2,SX3 Censored,6/18/2007
,Combat,TC275B,Combatant Team Combat 275,3/10/2016
,Combat,TC275B,Team Combat 275,6/26/2015
,Combat,TCF275,Team Combat Filip Washington 275,6/26/2015
,Combat,TCFW275,Team Combat Filip Washington 275,3/10/2016
,Combat,TCRSP2,Team Combat Casey Rogowski 275,4/30/2015
,Combat,TCRSP4,Team Combat Case Rogowski ASA,3/10/2016
,Combat,TCRSP4,Team Combat Casey Rogowski ASA,6/26/2015
,Combat,TCSFP108,Team Combat Madison Shipman FP -8,6/26/2015
,Combat,TCSFP109,Team Combat Madison Shipman FP -9,6/26/2015
,Combat,TCSFP110,Team Combat Madison Shipman FP -10,6/26/2015
,Combat,TCSFP111,Team Combat Madison Shipman FP -11,6/26/2015
,Combat,TCSFP210,Team Combat Madison Shipman FP -10 SW,6/26/2015
,Combat,TCSFP212,Team Combat Madison Shipman FP -12 SW,6/26/2015
,Combat,TFP1,Throttle,8/4/2010
,Combat,TRBSP2,Tribute ASA,9/4/2015
,Combat,TSP1,Throttle,6/18/2007
,Combat,VIMFP1,Virus Morphed,8/4/2010
,Combat,VIMFP2,Morphed Reload -8,9/6/2012
,Combat,VIMFP3,Morphed Reload -9,10/29/2012
,Combat,VIMFP4,Morphed Reload -10,9/6/2012
,Combat,VIMFP5,Morphed Reload -10,9/6/2012
,Combat,VIMFP6,Morphed Reload -12 SW,9/6/2012
,Combat,VIMSP1,Virus Morphed,8/4/2010
,Combat,VIRFP1,Virus,8/4/2010
,Combat,VIRSP2,Anti-Virus,8/4/2010
,Combat,VIRSP5-RB,Rusty Bumgardner 98 Anti-Virus Reloaded,7/15/2010
,Combat,VIRSP6,AntiVirus 275,2/4/2013
,Combat,VTSSP1,VTS Survivor 275,3/31/2014
,Combat,WANFP108,Wanted FP -8,8/1/2013
,Combat,WANFP109,Wanted FP -9,8/1/2013
,Combat,WANFP110,Wanted FP -10,8/1/2013
,Combat,WANFP111,Wanted FP -11,8/1/2013
,Combat,WANSP2,Wanted 275,3/22/2013
,Combat,WANSP3,Wanted ASA,3/22/2013
,Combat,WANSP6,Wanted ASA,8/1/2013
,Combat,WG3FP108,Wanted G3 -8,3/31/2014
,Combat,WG3FP109,Wanted G3 -9,3/31/2014
,Combat,WG3FP110,Wanted G3 -10,3/31/2014
,Combat,WG3FP111,Wanted G3 -11,3/31/2014
,Combat,WG3SP7,Wanted 275,3/31/2014
,Combat,WG3SP8,Wanted ASA,3/31/2014
,Combat,WNBSP2,Wanted Bryce Oliveira,3/31/2014
,Combat,WNBSP4,Team Combat Bryce Oliveira,4/30/2015
,Combat,WNBSP6,Team Combat Bryce Oliveira ASA,6/26/2015
,Custom Bat Works,X100SBDW,SPSBDW34,3/21/2011
,Custom Bat Works,X200SB,Catapult,3/21/2011
,Decker,Enigma,,8/13/2008
,DeMarini,,EVO Fastpitch (Blue),8/20/2008
,DeMarini,,F2-2003 (Red),6/18/2007
,DeMarini,99B-17,CF9 -10,5/3/2017
,DeMarini,AA2-15,Future,5/11/2015
,DeMarini,AAA-15,Future,5/11/2015
,DeMarini,AAA-16,Future SP,10/7/2015
,DeMarini,AAA-17,Future,12/4/2017
,DeMarini,B52,B-52,4/19/2010
,DeMarini,BFF11,Bustos (-11),3/16/2011
,DeMarini,BFP-17,Bustos (-13),2/12/2018
,DeMarini,BFP-19,Bustos (-13),12/13/2017
,DeMarini,BFP-21,Zenith (-13),11/5/2021
,DeMarini,BFP10,Bustos (-13),3/16/2011
,DeMarini,BFP11,Bustos (-13),5/26/2011
,DeMarini,BFP12,Bustos (-13),5/4/2011
,DeMarini,BSP,Bruiser Slowpitch,5/4/2010
,DeMarini,Cat -11,DXCTF,8/20/2008
,DeMarini,CAT9,Cat (-13),3/16/2011
,DeMarini,CCB-22,Corndog,5/25/2026
,DeMarini,CDS,Corndog,6/2/2014
,DeMarini,CDS-17,Corndog,5/25/2026
,DeMarini,CDS-18,Corndog,5/25/2026
,DeMarini,CDS-22,Corndog,5/25/2026
,DeMarini,CDS-25,Corndog,5/25/2026
,DeMarini,CDS-27,Corndog,12/3/2025
,DeMarini,CF3 Black (-9),,5/20/2008
,DeMarini,CF3 Gold,,4/30/2009
,DeMarini,CF8,CF3 Black (-8),5/23/2008
,DeMarini,CF8,CF4(-8),4/30/2009
,DeMarini,CF8-16,CF8 (-8),4/30/2015
,DeMarini,CF8-16 CSTM,CF8 -8 Custom,3/8/2016
,DeMarini,CF8-17,CF9 -8,3/8/2016
,DeMarini,CF8-17 CSTM,CF8 -8 (CUSTOM),5/3/2017
,DeMarini,CF8-17 CSTM,CF8 -8 Custom,3/8/2016
,DeMarini,CF8-18,CFX -8,2/12/2018
,DeMarini,CF8-18 CSTM,CF8 -8 (CUSTOM),5/3/2017
,DeMarini,CF8-19,CF Insane (-8),12/13/2017
,DeMarini,CF8-22,CF (-8),11/5/2021
,DeMarini,CF8-23,CF (-8),8/17/2022
,DeMarini,CF8-25,CF (-8),2/2/2024
,DeMarini,CF812,CF5 (-8),5/4/2011
,DeMarini,CF813,CF5 (-8),5/15/2012
,DeMarini,CF814,CF6 (-8),3/29/2013
,DeMarini,CF815,CF7 (-8),2/27/2014
,DeMarini,CFA-16,CF8 (-10) Slapper,5/24/2015
,DeMarini,CFA-16 CSTM,CF8 (-10) Slapper Custom,5/24/2015
,DeMarini,CFA-17,CF9 Slapper -10,3/4/2016
,DeMarini,CFA-17 CSTM,CF9 SLAPPER -10 (CUSTOM),5/3/2017
,DeMarini,CFA-17 CSTM,CF9 Slapper -10 Custom,3/4/2016
,DeMarini,CFA-18,CFX Slapper -10,2/12/2018
,DeMarini,CFA-18 CSTM,CFX SLAPPER -10 (CUSTOM),5/3/2017
,DeMarini,CFE-19,CF-Zen XD (-10),12/1/2017
,DeMarini,CFES-19,CF Zen XD (-10),3/27/2018
,DeMarini,CFF,CF3 Black (-9),8/20/2008
,DeMarini,CFF,CF4(-9),4/30/2009
,DeMarini,CFF-16,CF8 (-9),4/30/2015
,DeMarini,CFF-16 CSTM,CF8 (-9) Custom,5/24/2015
,DeMarini,CFF-17,CF9 -9,3/4/2016
,DeMarini,CFF-17 CSTM,CF9 -9 (CUSTOM),5/3/2017
,DeMarini,CFF-17 CSTM,CF9 -9 Custom,3/4/2016
,DeMarini,CFF-18 CSTM,CFX -9 (CUSTOM),5/3/2017
,DeMarini,CFF-19,CF Insane (-9),12/13/2017
,DeMarini,CFF-21,CF (-9),3/31/2021
,DeMarini,CFF-21 CSTM,CF (-9),3/31/2021
,DeMarini,CFF-22,CF (-9),11/5/2021
,DeMarini,CFF-22 CSTM,CF (-9) Custom,11/5/2021
,DeMarini,CFF-22S,CF (-9),3/4/2022
,DeMarini,CFF-23,CF (-9),8/17/2022
,DeMarini,CFF-23 CSTM,CF (-9) Custom,8/17/2022
,DeMarini,CFF-25,CF (-9),2/2/2024
,DeMarini,CFF-25-CSTM,CF (-9) Custom,2/2/2024
,DeMarini,CFF-FE,CF FE (-9),11/8/2024
,DeMarini,CFF-FE CSTM,CF FE (-9) Custom,11/8/2024
,DeMarini,CFF12,CF5 (-9),3/14/2011
,DeMarini,CFF13,CF5 (-9),5/15/2012
,DeMarini,CFF14,CF6 (-9),3/29/2013
,DeMarini,CFF15,CF7 (-9),3/4/2014
,DeMarini,CFF17 CSTM,CF9 -9 Custom,12/13/2017
,DeMarini,CFF18/33in & below,CFX -9,12/13/2017
,DeMarini,CFF18/34,CFX -9,12/13/2017
,DeMarini,CFF19 CSTM,CF Insane (-9),12/13/2017
,DeMarini,CFF34-19,CF Insane (-9),12/13/2017
,DeMarini,CFF34-21,CF (-9),3/31/2021
,DeMarini,CFFS-19,CF Insane,3/9/2018
,DeMarini,CFH-11,CF4 Hope,3/31/2010
,DeMarini,CFH-16,CF Hope (-10),4/30/2015
,DeMarini,CFH-16,CF8 (-10) Hope,5/24/2015
,DeMarini,CFH-17,CF9 Hope -10,3/4/2016
,DeMarini,CFH-18,CF Hope,12/13/2017
,DeMarini,CFH-19,CF Hope (-10),12/4/2017
,DeMarini,CFH-23,CF Hope,2/20/2023
,DeMarini,CFH12,CF5 -10 Hope,3/14/2011
,DeMarini,CFH13,CF5 Hope (-10),5/15/2012
,DeMarini,CFH14,CF6 (-10) Hope,3/29/2013
,DeMarini,CFH15,CF7 Hope (-10),3/11/2014
,DeMarini,CFI 12,CF5 -10 Insane,3/14/2011
,DeMarini,CFI-11,CF4 Insane,3/31/2010
,DeMarini,CFI-16,CF8 (-10) Insane,4/30/2015
,DeMarini,CFI-16 CSTM,CF8 (-10) Insane Custom,5/24/2015
,DeMarini,CFI-17,CF9 Insane -10,3/4/2016
,DeMarini,CFI-17 CSTM,CF9 INSANE -10 (CUSTOM),5/3/2017
,DeMarini,CFI-17 CSTM,CF9 Insane -10 Custom,3/4/2016
,DeMarini,CFI-19,CF Insane (-10),12/13/2017
,DeMarini,CFI-19 CSTM,CF Insane (-10),12/13/2017
,DeMarini,CFI-22,Insane FP (-10),3/4/2022
,DeMarini,CFI13,CF5 Insane (-10),5/15/2012
,DeMarini,CFI14,CF6 (-10) Insane,4/10/2013
,DeMarini,CFI15,CF7 (-10) Insane,3/4/2014
,DeMarini,CFI18 CSTM,CFX Insane -10,12/13/2017
,DeMarini,CFI18/33in & below,CFX Insane -10,12/13/2017
,DeMarini,CFI18/34in,CFX Insane -10,12/13/2017
,DeMarini,CFI34-19,CF Insane (-10),12/13/2017
,DeMarini,CFIS-19,CF Insane (-10),3/27/2018
,DeMarini,CFP,CF3 Black (-10),5/23/2008
,DeMarini,CFP-10,CF4(-10),3/31/2010
,DeMarini,CFP-11,CF4(-10),3/31/2010
,DeMarini,CFP-16,CF8 (10) Balanced,5/24/2015
,DeMarini,CFP-16 CSTM,CF8-10 Custom,3/4/2016
,DeMarini,CFP-16F1,Delta Force CF8,3/4/2016
,DeMarini,CFP-16F1,DELTA FORCE CF8,5/3/2017
,DeMarini,CFP-16F2,DELTA FORCE CF8,5/3/2017
,DeMarini,CFP-16F2,Delta Force CF8,3/4/2016
,DeMarini,CFP-17,CF9 -10,3/4/2016
,DeMarini,CFP-17 CSTM,CF9 -10 (CUSTOM),5/3/2017
,DeMarini,CFP-17 CSTM,CF9 -10 Custom,3/4/2016
,DeMarini,CFP-17F1,DELTA FORCE CF8,5/3/2017
,DeMarini,CFP-17F2,DELTA FORCE CF8,5/3/2017
,DeMarini,CFP-18,CFX -10,8/10/2023
,DeMarini,CFP-18 CSTM,CFX -10 (CUSTOM),5/3/2017
,DeMarini,CFP-19,CF Zen (-10),12/13/2017
,DeMarini,CFP-19 CSTM,CF Zen (-10),12/13/2017
,DeMarini,CFP-20,CF (-10),3/18/2019
,DeMarini,CFP-20 CSTM,CF (-10),3/18/2019
,DeMarini,CFP-21,CF (-10),3/31/2021
,DeMarini,CFP-21 CSTM,CF (-10),3/31/2021
,DeMarini,CFP-22,CF (-10),11/5/2021
,DeMarini,CFP-22 CSTM,CF(-10) Custom,5/27/2023
,DeMarini,CFP-23,CF (-10),8/17/2022
,DeMarini,CFP-23 CSTM,CF (-10) CUSTOM,8/17/2022
,DeMarini,CFP-25,CF (-10),2/2/2024
,DeMarini,CFP-25 CSTM,CF (-10) Custom,2/2/2024
,DeMarini,CFP-AA,CFP Agular Edition,11/5/2021
,DeMarini,CFP-AC,CFP Chiddy Edition,11/5/2021
,DeMarini,CFP-FE,CF FE (-10),11/8/2024
,DeMarini,CFP-FE CSTM,CF FE (-10) Custom,11/8/2024
,DeMarini,CFP-NP,CF Neon Pop (-10),12/3/2018
,DeMarini,CFP-RD,CF Onslaught (-10),2/4/2020
,DeMarini,CFP-VA,CFP Val Edition,11/5/2021
,DeMarini,CFP12,CF5 -10,3/14/2011
,DeMarini,CFP13,CF5 (-10),5/15/2012
,DeMarini,CFP14,CF6 (-10),3/29/2013
,DeMarini,CFP15,CF7 (-10),3/4/2014
,DeMarini,CFP17 CSTM,CF9 Custom -10,12/13/2017
,DeMarini,CFP17/34in,CF9 -10,12/13/2017
,DeMarini,CFP18/34in,CFX -10,2/12/2018
,DeMarini,CFP34-19,CF Zen (-10),12/13/2017
,DeMarini,CFP34-20,CF (-10),3/18/2019
,DeMarini,CFP34-21,CF (-10),3/31/2021
,DeMarini,CFP34-22,CF (-10),11/5/2021
,DeMarini,CFP34-23,CF (-10),8/17/2022
,DeMarini,CFP34-25,CF (-10),2/2/2024
,DeMarini,CFP34-FE,CF FE (-10),11/8/2024
,DeMarini,CFPS-19,CF Zen (-10),3/9/2018
,DeMarini,CFPS-20,CF (-10),3/18/2019
,DeMarini,CFPS-21,CF (-10),3/31/2021
,DeMarini,CFPS-22,CF (-10),11/5/2021
,DeMarini,CFPS-22 CSTM,CF (-10) Custom,11/5/2021
,DeMarini,CFPS-23,CF (-10),8/17/2022
,DeMarini,CFPS-25,CF-(-10),2/2/2024
,DeMarini,CFPS-FE,CF FE,11/8/2024
,DeMarini,CFPS-FE,CF FE (-10),11/8/2024
,DeMarini,CFS-16,CF8 (-11),5/24/2015
,DeMarini,CFS-17,CF9 -11,7/25/2016
,DeMarini,CFS-17 CSTM,CF9 -11,7/25/2016
,DeMarini,CFS-19,CF Zen (-11),12/13/2017
,DeMarini,CFS-19 CSTM,CF Zen (-11),12/13/2017
,DeMarini,CFS-20,CF (-11),3/18/2019
,DeMarini,CFS-20 CSTM,CF (-11),3/18/2019
,DeMarini,CFS-21,CF (-11),3/31/2021
,DeMarini,CFS-21 CSTM,CF (-11),3/31/2021
,DeMarini,CFS-22,CF (-11),11/5/2021
,DeMarini,CFS-22 CSTM,CF (-11) Custom,11/5/2021
,DeMarini,CFS-23,CF (-11),8/17/2022
,DeMarini,CFS-23 CSTM,CF (-11) CUSTOM,8/17/2022
,DeMarini,CFS-25,CF (-11),2/2/2024
,DeMarini,CFS-25 CSTM,CF (-11) Custom,2/2/2024
,DeMarini,CFS-FE,CF FE (-11),11/8/2024
,DeMarini,CFS-FE CSTM,CF FE (-11) Custom,11/8/2024
,DeMarini,CFS12,CF5 -11,3/14/2011
,DeMarini,CFS13,CF5 (-11),5/15/2012
,DeMarini,CFS14,CF6 (-11),3/4/2014
,DeMarini,CFS15,CF7 (-11),3/4/2014
,DeMarini,CFS18,CFX (-11),7/22/2017
,DeMarini,CFS18 CSTM,CFX (-11),7/22/2017
,DeMarini,CFSL-19,CF Zen (-11),3/9/2018
,DeMarini,CFSL-20,CF-11,2/9/2024
,DeMarini,CFSL-21,CF (-11),3/31/2021
,DeMarini,CFSL-22,CF (-11),11/5/2021
,DeMarini,CFSL-23,CF (-11),8/17/2022
,DeMarini,CFSL-25,CF (-11),2/2/2024
,DeMarini,CFSL-FE,CF FE (-11),11/8/2024
,DeMarini,CFSS-19,CF Zen (-11),3/9/2018
,DeMarini,CFSS-20,CF-11,2/9/2024
,DeMarini,CFSS-21,CF (-11),3/31/2021
,DeMarini,CFSS-22,CF (-11),11/5/2021
,DeMarini,CFSS-23,CF (-11),8/17/2022
,DeMarini,CFSS-25,CF (-11),2/2/2024
,DeMarini,CFSS-FE,CF FE (-11),11/8/2024
,DeMarini,CFSS-NP,CF Neon Pop (-11),12/3/2018
,DeMarini,CFU-14,CF6 Pride,7/9/2014
,DeMarini,CFU-16,CF7 (-10) Pride,4/30/2015
,DeMarini,CHU-15,Chupacabra,5/24/2015
,DeMarini,CND-19,Carbon Candy (-10),12/1/2017
,DeMarini,CNDS-19,Carbon Candy (-10),5/27/2023
,DeMarini,DMF-14,Uprising (-12),2/12/2018
,DeMarini,DMS-14,Uprising,2/12/2018
,DeMarini,DSP-14,Defiance,2/12/2018
,DeMarini,DUS12,Ultimate Distance,5/15/2012
,DeMarini,DWS-16,Wire,2/12/2018
,DeMarini,DWS-17,Wire,11/5/2021
,DeMarini,DWS-18,Wire,11/5/2021
,DeMarini,DWS-19,Wire,11/5/2021
,DeMarini,DWS-22,Wire,11/5/2021
,DeMarini,DWS-25,Wire,2/2/2024
,DeMarini,DWS-27,Wire,12/3/2025
,DeMarini,DXB52,B-52,4/30/2008
,DeMarini,DXBSP,Bruiser,8/7/2012
,DeMarini,DXCAT,Cat Osterman -13,8/20/2008
,DeMarini,DXDBB,Double Wall Fastpitch Bottle,4/30/2008
,DeMarini,DXDBC,Classic,4/30/2008
,DeMarini,DXDBD,Doublewall Distance,4/30/2008
,DeMarini,DXDBF,Fast Pitch FLI,4/30/2008
,DeMarini,DXDBH,Distance AX,4/30/2008
,DeMarini,DXDBL,Fast Pitch Lite,4/30/2008
,DeMarini,DXDBT,Fatboy,4/30/2008
,DeMarini,DXDIS Doublewall Distance,Ray Demarini Distance,4/30/2008
,DeMarini,DXDML,Demolition,4/30/2008
,DeMarini,DXDMO,DeeMo,6/18/2007
,DeMarini,DXDTR,Destroyer,6/18/2007
,DeMarini,DXDUS,Ultimate Distance,5/15/2012
,DeMarini,DXEVX,EVO AX,8/20/2008
,DeMarini,DXF75,F375 Half and Half Doublewall,4/30/2008
,DeMarini,DXFF2,F2 Fast Pitch,4/30/2008
,DeMarini,DXFF3,F3 Fast Pitch,4/30/2008
,DeMarini,DXFZM,375 Fast Pitch,4/30/2008
,DeMarini,DXJSM,Julie Smith Fast Pitch,3/31/2008
,DeMarini,DXMFP,Medusa,8/20/2008
,DeMarini,DXNAT,Juggernaut,4/30/2008
,DeMarini,DXNSP,Nitro Slowpitch,4/30/2008
,DeMarini,DXNTF,Nitro Fastpitch,8/20/2008
,DeMarini,DXONX,Onyx Fastpitch,8/20/2008
,DeMarini,DXPNO,Phenix -8 Fastpitch,4/30/2008
,DeMarini,DXPNX,Phenix -10,6/18/2007
,DeMarini,DXPTF,Patriot Fastpitch,4/30/2008
,DeMarini,DXRAW,Raw Steel,4/30/2008
,DeMarini,DXRCT,Reactor,8/20/2008
,DeMarini,DXRCY,Reactor Youth Fastpitch,8/20/2008
,DeMarini,DXRZF,Rayzr Fastpitch,4/30/2008
,DeMarini,DXRZH,Rayzr AX,4/30/2008
,DeMarini,DXRZM,375 MX,4/30/2008
,DeMarini,DXSF2-4,F2-2004 (Gray),4/30/2008
,DeMarini,DXSF2-5,F2-2005 (Dark Orange),4/30/2008
,DeMarini,DXSF2-6,F2-2006,4/30/2008
,DeMarini,DXSF3,F3,4/30/2008
,DeMarini,DXSF4,F4 Slowpitch,4/30/2009
,DeMarini,DXUFP,Ultimate Fastpitch Singlewall,3/31/2008
,DeMarini,DXUWE,Ultimate Weapon,8/20/2008
,DeMarini,DXVFB,DeMarini Vexxum Men's Fastpitc,8/20/2008
,DeMarini,DXVFP,Vexxum Fastpitch -10,8/20/2008
,DeMarini,DXVNS,Vexxum,8/20/2008
,DeMarini,DXWHI,White,4/30/2008
,DeMarini,EVX-LE8,EVO AX,8/20/2008
,DeMarini,F2 Limited Edition,,4/30/2009
,DeMarini,FFF-26,Future (-9),9/12/2025
,DeMarini,FFF-26 CSTM,Future (-9) Custom,9/12/2025
,DeMarini,FFF-27,Future (-9),3/30/2026
,DeMarini,FFF-27 CSTM,Future (-9) Custom,3/30/2026
,DeMarini,FFP-26,Future -10,9/12/2025
,DeMarini,FFP-26 CSTM,Future -10 Custom,9/12/2025
,DeMarini,FFP-27,Future (-10),3/30/2026
,DeMarini,FFP-27 CSTM,Future (-10) Custom,3/30/2026
,DeMarini,FFPS-26,Future -10,9/12/2025
,DeMarini,FFPS-26 CSTM,Future -10 Custom,9/12/2025
,DeMarini,FFPS-27,Future (-10),3/30/2026
,DeMarini,FFPS-27 CSTM,Future (-10) Custom,3/30/2026
,DeMarini,FFPXS-26,Future (-10),9/12/2025
,DeMarini,FFPXS-26 CSTM,Future (-10) Custom,9/12/2025
,DeMarini,FFS-27,Future (-11),3/30/2026
